BEGIN_YEAR,BEGIN_MONTH,EVENT_ID,EVENT_TYPE,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,DEATH_TOLL,TOTAL_INJURIES
2019,03,811967,Thunderstorm Wind,5.0,0.0,COURTLAND,34.2674,-89.9686,34.3412,-89.9551,0,0
2019,03,811969,Thunderstorm Wind,1.0,0.0,SARDIS,34.4661,-89.8517,34.4796,-89.8138,0,0
2019,03,803395,Thunderstorm Wind,,,BIG SPRING,32.25,-101.47,32.25,-101.47,0,0
2019,03,803714,Thunderstorm Wind,2.0,0.0,MIDLAND,31.9989,-102.0683,31.9989,-102.0683,0,0
2019,03,803715,Thunderstorm Wind,,,GAIL,32.7589,-101.3982,32.7589,-101.3982,0,0
2019,03,803716,Thunderstorm Wind,,,BEST,31.6353,-101.63,31.6353,-101.63,0,0
2019,03,808577,Thunderstorm Wind,0.0,0.0,O FALLON,38.8183,-90.6935,38.8183,-90.6935,0,0
2019,03,808578,Thunderstorm Wind,0.0,0.0,ORCHARD FARM,38.9274,-90.427,38.9274,-90.427,0,0
2019,03,806150,Thunderstorm Wind,0.0,0.0,RICE,32.2929,-95.3006,32.2929,-95.3006,0,0
2019,03,806152,Thunderstorm Wind,0.0,0.0,DIANA,32.7099,-94.7536,32.7099,-94.7536,0,0
2019,03,800492,Thunderstorm Wind,0.0,0.0,FRIONA BENGER ARPK,34.65,-102.69,34.65,-102.69,0,0
2019,03,802971,Thunderstorm Wind,0.0,0.0,(LUK)LUNKEN FLD CINC,39.1,-84.42,39.1,-84.42,0,0
2019,03,802972,Thunderstorm Wind,10.0,0.0,SILVERTON,39.2016,-84.3726,39.2016,-84.3726,0,0
2019,03,802976,Thunderstorm Wind,1.0,0.0,DAY HGTS,39.18,-84.21,39.18,-84.21,0,0
2019,03,802977,Thunderstorm Wind,2.0,0.0,MT ST JOSEPH,39.1,-84.63,39.1,-84.63,0,0
2019,03,802981,Thunderstorm Wind,1.0,0.0,BURTONVILLE,39.4171,-83.8405,39.4171,-83.8405,0,0
2019,03,802984,Thunderstorm Wind,20.0,0.0,PANSY,39.35,-83.95,39.35,-83.95,0,0
2019,03,803717,Thunderstorm Wind,,,BIG SPRING,32.2091,-101.5184,32.2091,-101.5184,0,0
2019,03,803718,Thunderstorm Wind,100.0,,UNION,32.6844,-101.0092,32.7603,-100.9014,0,0
