BEGIN_YEAR,BEGIN_MONTH,BEGIN_DAY,EVENT_ID,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,FLOOD_CAUSE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
2019,03,14,811799,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,YOUNGSTOWN,41.59,-93.56,41.59,-93.66
2019,03,14,811800,March,Flood,0,0,0,0,0.00K,0.00K,Ice Jam,ROBERTS,42.42,-94.21,42.3,-94.05
2019,02,25,810687,February,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,ABERDEEN,42.8988,-112.9199,43.03,-112.25200000000001
2019,02,22,799734,February,Flash Flood,0,0,0,0,10.00K,0.00K,Heavy Rain,RULEVILLE,33.73,-90.55,33.7356,-90.5362
2019,02,22,799726,February,Flash Flood,0,0,0,0,15.00K,0.00K,Heavy Rain,DUNCANS CROSSING,33.75,-90.01,33.7414,-90.0107
2019,02,22,799724,February,Flash Flood,0,0,0,0,30.00K,0.00K,Heavy Rain,JEFFERSON,33.59,-89.91,33.4144,-89.8466
2019,02,22,799725,February,Flash Flood,0,0,0,0,50.00K,0.00K,Heavy Rain,WAVERLY STATION,33.5939,-88.4945,33.5932,-88.492
2019,02,22,799722,February,Flash Flood,0,0,0,0,5.00K,0.00K,Heavy Rain,GRADY,33.55,-89.38,33.549,-89.36200000000001
2019,02,22,799720,February,Flash Flood,0,0,0,0,20.00K,0.00K,Heavy Rain,SPRING HILL,33.61,-89.65,33.659,-89.5679
2019,02,21,811549,February,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,FLINT CITY,34.5,-86.98,34.5006,-86.9894
2019,02,21,811558,February,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,LARKINSVILLE,34.71,-86.14,34.7154,-86.1411
2019,02,21,811559,February,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,RABBIT TOWN,34.29,-86.28,34.2938,-86.2839
